,VEGFA,FGF1,Cluster
TCGA-AO-A12C-01A-11R-A10J-07,6.94548488001885,4.281687283295371,0
TCGA-E9-A5UO-01A-11R-A28M-07,8.166069278602436,1.160997109579051,1
TCGA-AR-A24M-01A-11R-A169-07,5.835705948869991,4.651972760370889,0
TCGA-D8-A1X6-01A-11R-A14M-07,5.619770285149592,1.2977528639917115,1
TCGA-E9-A243-01A-21R-A169-07,4.390607035591218,1.5280934574675324,1
TCGA-B6-A2IU-01A-32R-A18M-07,6.365830040334039,2.4291711295591085,1
TCGA-B5-A1MU-01A-11R-A13S-07,7.170518594187616,2.588518896539458,1
TCGA-EO-A3AY-01A-12R-A19W-07,4.740482883935204,1.0357178182867834,1
TCGA-AJ-A3BD-01A-11R-A19W-07,6.325084791090918,1.5635602755075124,1
TCGA-EY-A1GV-01A-11R-A13S-07,8.893802252071923,2.2730546980623285,1
TCGA-AJ-A6NU-01A-11R-A34R-07,7.146243144320651,1.0501387593898688,1
TCGA-B5-A5OE-01A-11R-A31O-07,7.523227847989798,0.3659993980611549,1
TCGA-AX-A0IS-01A-12R-A10J-07,7.691358979846133,1.116092083744756,1
TCGA-AX-A2IN-01A-12R-A180-07,5.792310758217568,2.65558363411924,1
TCGA-KP-A3W1-01A-11R-A22K-07,6.165151301733216,1.667373466023318,1
TCGA-A5-A2K2-01A-11R-A18M-07,6.566359337367088,0.5485841801937829,1
TCGA-AX-A3FZ-01A-11R-A22K-07,6.063792708531364,0.1236003501683438,1
TCGA-DI-A1NO-01A-31R-A157-07,8.230860339384522,0.4799010967666814,1
TCGA-EY-A549-01A-11R-A27V-07,8.168095940477983,1.4400988342308612,1
TCGA-D1-A3DA-01A-12R-A213-07,7.583545020288265,0.5477295378871353,1
TCGA-B5-A11G-01A-13R-A118-07,5.651298000467027,1.688166928073356,1
TCGA-B5-A11Z-01A-11R-A10J-07,6.002377841028168,1.0706297924420038,1
TCGA-AJ-A3NF-01A-11R-A22K-07,6.025756122861988,4.635319899352494,0
TCGA-BG-A0MO-01A-11R-A040-07,5.43920373596765,0.3942277055308157,1
TCGA-AJ-A3EL-01A-11R-A213-07,6.515066220755901,1.8100785357710016,1
TCGA-D1-A15X-01A-11R-A118-07,6.616939801262749,0.2048695522652672,1
TCGA-AX-A3FW-01A-11R-A22K-07,6.133324723976409,0.4525203539200146,1
TCGA-A5-A1OJ-01A-11R-A14D-07,4.884996862865923,1.526748924037945,1
TCGA-DI-A1NN-01A-11R-A16F-07,5.156710662361895,2.6196092260673742,1
TCGA-AX-A1CJ-01A-11R-A137-07,5.407008478060524,1.3567266627408967,1
TCGA-D1-A167-01A-11R-A12I-07,7.6354709591157155,1.0966119203038258,1
TCGA-AJ-A3OL-01A-11R-A22K-07,7.712915978103144,0.8435618400896069,1
TCGA-B5-A1MY-01A-11R-A144-07,7.657401033600147,0.5342476013477074,1
TCGA-JU-AAVI-01A-11R-A40A-07,4.910693723787755,0.8555866654086367,1
TCGA-D1-A16G-01A-31R-A12I-07,5.886938984646089,0.5493697105517483,1
TCGA-EY-A3L3-01A-11R-A22K-07,6.802331672451833,1.4562656840389652,1
TCGA-B5-A11I-01A-11R-A10J-07,5.836726162599478,1.3737247452818613,1
TCGA-AX-A2H5-01A-11R-A17B-07,7.195423399323469,0.4389162888530536,1
TCGA-B5-A0JN-01A-11R-A104-07,5.61406619914838,1.4350794309404575,1
TCGA-AX-A2H4-01A-21R-A18M-07,7.856311067048307,0.1884026054257806,1
